id_commune;id_election;id_candidat;inscrits;abstentions;votants;blancs;nuls;exprimes;pct_abs_ins;pct_vot_ins;pct_blancs_ins;pct_blancs_vot;pct_nuls_ins;pct_nuls_vot;pct_exprimes_ins;pct_exprimes_vot;voix;pct_voix_ins;pct_voix_exprimes;date_integration_gold
69-49;2017_T2;CAND_002;2286;529;1757;178;34;1545;23.14;76.86;7.79;10.13;1.49;1.94;67.59;87.93;418;18.29;27.06;2026-03-24T19:55:58.226396
69-50;2017_T2;CAND_001;1641;338;1303;129;31;1143;20.6;79.4;7.86;9.9;1.89;2.38;69.65;87.72;833;50.76;72.88;2026-03-24T19:55:58.226396
69-50;2017_T2;CAND_002;1641;338;1303;129;31;1143;20.6;79.4;7.86;9.9;1.89;2.38;69.65;87.72;310;18.89;27.12;2026-03-24T19:55:58.226396
69-51;2017_T2;CAND_001;839;144;695;85;12;598;17.16;82.84;10.13;12.23;1.43;1.73;71.28;86.04;416;49.58;69.57;2026-03-24T19:55:58.226396
69-51;2017_T2;CAND_002;839;144;695;85;12;598;17.16;82.84;10.13;12.23;1.43;1.73;71.28;86.04;182;21.69;30.43;2026-03-24T19:55:58.226396
69-52;2017_T2;CAND_001;3282;636;2646;336;0;2310;19.38;80.62;10.24;12.7;0.0;0.0;70.38;87.3;1716;52.29;74.29;2026-03-24T19:55:58.226396
69-52;2017_T2;CAND_002;3282;636;2646;336;0;2310;19.38;80.62;10.24;12.7;0.0;0.0;70.38;87.3;594;18.1;25.71;2026-03-24T19:55:58.226396
69-53;2017_T2;CAND_001;420;89;331;36;5;290;21.19;78.81;8.57;10.88;1.19;1.51;69.05;87.61;179;42.62;61.72;2026-03-24T19:55:58.226396
69-53;2017_T2;CAND_002;420;89;331;36;5;290;21.19;78.81;8.57;10.88;1.19;1.51;69.05;87.61;111;26.43;38.28;2026-03-24T19:55:58.226396
69-54;2017_T2;CAND_001;294;59;235;26;7;202;20.07;79.93;8.84;11.06;2.38;2.98;68.71;85.96;90;30.61;44.55;2026-03-24T19:55:58.226396
69-54;2017_T2;CAND_002;294;59;235;26;7;202;20.07;79.93;8.84;11.06;2.38;2.98;68.71;85.96;112;38.1;55.45;2026-03-24T19:55:58.226396
69-55;2017_T2;CAND_001;978;167;811;65;22;724;17.08;82.92;6.65;8.01;2.25;2.71;74.03;89.27;439;44.89;60.64;2026-03-24T19:55:58.226396
69-55;2017_T2;CAND_002;978;167;811;65;22;724;17.08;82.92;6.65;8.01;2.25;2.71;74.03;89.27;285;29.14;39.36;2026-03-24T19:55:58.226396
69-56;2017_T2;CAND_001;1352;276;1076;110;18;948;20.41;79.59;8.14;10.22;1.33;1.67;70.12;88.1;607;44.9;64.03;2026-03-24T19:55:58.226396
69-56;2017_T2;CAND_002;1352;276;1076;110;18;948;20.41;79.59;8.14;10.22;1.33;1.67;70.12;88.1;341;25.22;35.97;2026-03-24T19:55:58.226396
69-57;2017_T2;CAND_001;439;65;374;40;5;329;14.81;85.19;9.11;10.7;1.14;1.34;74.94;87.97;215;48.97;65.35;2026-03-24T19:55:58.226396
69-57;2017_T2;CAND_002;439;65;374;40;5;329;14.81;85.19;9.11;10.7;1.14;1.34;74.94;87.97;114;25.97;34.65;2026-03-24T19:55:58.226396
69-58;2017_T2;CAND_001;300;49;251;32;9;210;16.33;83.67;10.67;12.75;3.0;3.59;70.0;83.67;130;43.33;61.9;2026-03-24T19:55:58.226396
69-58;2017_T2;CAND_002;300;49;251;32;9;210;16.33;83.67;10.67;12.75;3.0;3.59;70.0;83.67;80;26.67;38.1;2026-03-24T19:55:58.226396
69-59;2017_T2;CAND_001;1092;214;878;79;14;785;19.6;80.4;7.23;9.0;1.28;1.59;71.89;89.41;529;48.44;67.39;2026-03-24T19:55:58.226396
69-59;2017_T2;CAND_002;1092;214;878;79;14;785;19.6;80.4;7.23;9.0;1.28;1.59;71.89;89.41;256;23.44;32.61;2026-03-24T19:55:58.226396
69-60;2017_T2;CAND_001;461;97;364;30;10;324;21.04;78.96;6.51;8.24;2.17;2.75;70.28;89.01;161;34.92;49.69;2026-03-24T19:55:58.226396
69-60;2017_T2;CAND_002;461;97;364;30;10;324;21.04;78.96;6.51;8.24;2.17;2.75;70.28;89.01;163;35.36;50.31;2026-03-24T19:55:58.226396
