id_commune;annee;insee_pop;insee_log
69057;2022;586;277
69057;2023;586;277
69057;2024;586;277
69058;2016;401;231
69058;2017;391;230
69058;2018;387;230
69058;2019;384;231
69058;2020;380;231
69058;2021;398;236
69058;2022;416;236
69058;2023;416;236
69058;2024;416;236
69059;2016;1520;655
69059;2017;1515;660
69059;2018;1533;670
69059;2019;1537;674
69059;2020;1550;682
69059;2021;1591;694
69059;2022;1633;694
69059;2023;1633;694
69059;2024;1633;694
69060;2016;664;377
69060;2017;635;394
69060;2018;605;387
69060;2019;576;380
69060;2020;570;382
69060;2021;564;384
69060;2022;557;384
69060;2023;557;384
69060;2024;557;384
69061;2016;1170;574
69061;2017;1167;575
69061;2018;1178;586
69061;2019;1188;581
69061;2020;1199;577
69061;2021;1204;583
69061;2022;1198;583
69061;2023;1198;583
69061;2024;1198;583
69062;2016;765;320
69062;2017;769;327
69062;2018;774;329
69062;2019;778;331
69062;2020;782;334
69062;2021;791;339
69062;2022;794;339
69062;2023;794;339
69062;2024;794;339
69063;2016;4054;1903
69063;2017;4052;1923
69063;2018;4181;1933
69063;2019;4315;1979
69063;2020;4448;2024
69063;2021;4517;2052
69063;2022;4604;2052
69063;2023;4604;2052
69063;2024;4604;2052
69064;2016;3877;1933
69064;2017;3897;2007
69064;2018;3927;2029
69064;2019;3957;2052
69064;2020;3949;2062
69064;2021;3933;2068
69064;2022;3945;2068
69064;2023;3945;2068
69064;2024;3945;2068
69065;2016;927;411
69065;2017;942;420
69065;2018;954;425
69065;2019;965;429
69065;2020;977;434
69065;2021;984;439
69065;2022;993;439
69065;2023;993;439
69065;2024;993;439
69066;2016;4519;2786
69066;2017;4449;2779
69066;2018;4379;2772
69066;2019;4390;2784
69066;2020;4366;2773
69066;2021;4352;2773
69066;2022;4329;2773
69066;2023;4329;2773
69066;2024;4329;2773
69067;2016;1094;578
69067;2017;1118;575
69067;2018;1142;573
69067;2019;1168;586
69067;2020;1169;587
69067;2021;1172;589
69067;2022;1178;589
69067;2023;1178;589
69067;2024;1178;589
69068;2016;2559;1146
69068;2017;2516;1143
69068;2018;2472;1139
69068;2019;2454;1134
