id_commune;id_year;pct_revenus_activite;pct_revenus_salaires_chomage;pct_revenus_activite_non_salariee;pct_pensions_retraites;pct_revenus_patrimoine;pct_prestations_sociales;pct_prestations_familiales;pct_minima_sociaux;pct_prestations_logement;pct_impots;pct_revenus_non_salaries
69047;2018;;;;;;;;;;;
69047;2019;;;;;;;;;;;
69047;2020;;;;;;;;;;;
69047;2021;;;;;;;;;;;
69049;2014;77.1;70.6;;27.6;14.8;2.0;1.5;0.2;0.3;-21.5;6.5
69049;2015;;;76.4;28.8;14.4;1.9;1.3;0.2;0.4;-21.5;6.5
69049;2016;;;76.9;28.4;14.2;1.8;1.1;0.4;0.3;-21.3;6.9
69049;2017;;;78.8;27.6;13.6;1.7;1.1;0.3;0.3;-21.7;6.8
69049;2018;;;79.1;27.8;14.3;1.7;1.1;0.3;0.3;-22.9;6.2
69049;2019;;;77.5;27.8;15.7;1.8;1.1;0.5;0.2;-22.8;5.6
69049;2020;;;75.0;26.6;19.1;1.6;0.9;0.4;0.3;-22.3;5.2
69049;2021;;;77.4;25.2;18.8;1.5;0.9;0.4;0.2;-22.9;4.8
69050;2014;80.9;76.8;;24.9;10.5;2.7;1.7;0.5;0.5;-19.0;4.1
69050;2015;;;80.5;25.3;10.4;2.7;1.7;0.5;0.5;-18.9;3.9
69050;2016;;;81.0;24.6;10.5;2.5;1.6;0.5;0.4;-18.6;4.5
69050;2017;;;80.4;25.4;10.3;2.7;1.6;0.7;0.4;-18.8;4.6
69050;2018;;;80.8;25.1;11.3;2.6;1.5;0.7;0.4;-19.8;4.5
69050;2019;;;80.2;24.9;11.8;2.9;1.5;1.0;0.4;-19.8;4.9
69050;2020;;;79.1;25.5;11.4;3.0;1.5;1.1;0.4;-19.0;3.9
69050;2021;;;80.9;24.9;10.2;2.5;1.4;0.8;0.3;-18.5;4.2
69051;2014;;;;;;;;;;;
69051;2015;;;;;;;;;;;
69051;2016;;;;;;;;;;;
69051;2017;;;;;;;;;;;
69051;2018;;;;;;;;;;;
69051;2019;;;;;;;;;;;
69051;2020;;;;;;;;;;;
69051;2021;;;;;;;;;;;
69052;2014;77.7;73.2;;27.7;10.8;2.5;1.8;0.3;0.4;-18.7;4.5
69052;2015;;;77.9;28.3;10.3;2.3;1.6;0.3;0.4;-18.8;4.3
69052;2016;;;78.4;28.1;10.2;2.2;1.5;0.4;0.4;-18.9;4.2
69052;2017;;;79.4;27.3;10.3;1.9;1.3;0.3;0.3;-18.9;4.8
69052;2018;;;81.7;26.6;10.1;2.0;1.2;0.5;0.3;-20.4;4.8
69052;2019;;;79.9;27.5;10.5;2.2;1.2;0.7;0.3;-20.1;5.0
69052;2020;;;80.3;27.1;9.7;2.2;1.2;0.7;0.3;-19.3;4.5
69052;2021;;;82.8;25.5;9.2;2.1;1.1;0.7;0.3;-19.6;4.7
69053;2014;;;;;;;;;;;
69053;2015;;;;;;;;;;;
69053;2016;;;;;;;;;;;
69053;2017;;;;;;;;;;;
69053;2018;;;;;;;;;;;
69053;2019;;;;;;;;;;;
69053;2020;;;;;;;;;;;
69053;2021;;;;;;;;;;;
69054;2014;;;;;;;;;;;
69054;2015;;;;;;;;;;;
69054;2016;;;;;;;;;;;
69054;2017;;;;;;;;;;;
69054;2018;;;;;;;;;;;
69054;2019;;;;;;;;;;;
69054;2020;;;;;;;;;;;
69054;2021;;;;;;;;;;;
69055;2014;;;;;;;;;;;
69055;2015;;;;;;;;;;;
69055;2016;;;;;;;;;;;
69055;2017;;;;;;;;;;;
69055;2018;;;;;;;;;;;
69055;2019;;;;;;;;;;;
69055;2020;;;;;;;;;;;
69055;2021;;;;;;;;;;;
69056;2014;;;;;;;;;;;
69056;2015;;;;;;;;;;;
69056;2016;;;84.6;20.6;6.6;3.5;2.4;0.6;0.5;-15.3;3.5
69056;2017;;;84.5;21.0;6.6;3.4;2.3;0.6;0.5;-15.5;3.0
69056;2018;;;84.7;21.0;7.7;3.3;2.2;0.7;0.4;-16.7;3.5
69056;2019;;;84.3;21.3;7.1;3.5;2.2;0.9;0.4;-16.2;3.1
69056;2020;;;84.2;22.1;5.9;3.7;2.2;1.1;0.4;-15.9;2.4
69056;2021;;;85.8;20.8;6.0;3.1;1.9;0.9;0.3;-15.7;3.3
69057;2014;;;;;;;;;;;
69057;2015;;;;;;;;;;;
69057;2016;;;;;;;;;;;
69057;2017;;;;;;;;;;;
69057;2018;;;;;;;;;;;
69057;2019;;;;;;;;;;;
69057;2020;;;;;;;;;;;
69057;2021;;;;;;;;;;;
69058;2014;;;;;;;;;;;
69058;2015;;;;;;;;;;;
69058;2016;;;;;;;;;;;
69058;2017;;;;;;;;;;;
69058;2018;;;;;;;;;;;
69058;2019;;;;;;;;;;;
69058;2020;;;;;;;;;;;
69058;2021;;;;;;;;;;;
69059;2014;;;;;;;;;;;
69059;2015;;;;;;;;;;;
69059;2016;;;;;;;;;;;
69059;2017;;;;;;;;;;;
69059;2018;;;;;;;;;;;
69059;2019;;;;;;;;;;;
69059;2020;;;;;;;;;;;
69059;2021;;;;;;;;;;;
69060;2014;;;;;;;;;;;
69060;2015;;;;;;;;;;;
69060;2016;;;;;;;;;;;
69060;2017;;;;;;;;;;;
69060;2018;;;;;;;;;;;
69060;2019;;;;;;;;;;;
69060;2020;;;;;;;;;;;
69060;2021;;;;;;;;;;;
69061;2014;;;;;;;;;;;
69061;2015;;;;;;;;;;;
69061;2016;;;;;;;;;;;
69061;2017;;;;;;;;;;;
69061;2018;;;;;;;;;;;
69061;2019;;;;;;;;;;;
69061;2020;;;;;;;;;;;
69061;2021;;;;;;;;;;;
69062;2014;;;;;;;;;;;
69062;2015;;;;;;;;;;;
69062;2016;;;;;;;;;;;
69062;2017;;;;;;;;;;;
69062;2018;;;;;;;;;;;
69062;2019;;;;;;;;;;;
69062;2020;;;;;;;;;;;
69062;2021;;;;;;;;;;;
69063;2014;86.2;75.6;;20.8;17.4;2.0;1.2;0.4;0.4;-26.4;10.6
69063;2015;;;84.9;21.1;18.1;1.8;1.1;0.3;0.4;-25.9;9.8
69063;2016;;;86.1;21.3;18.0;1.8;1.0;0.4;0.4;-27.2;9.6
69063;2017;;;82.5;21.2;20.8;1.9;1.0;0.5;0.4;-26.4;9.1
69063;2018;;;81.7;20.3;24.3;1.6;0.8;0.5;0.3;-27.9;9.0
69063;2019;;;80.1;21.4;23.4;1.7;0.8;0.6;0.3;-26.6;8.9
69063;2020;;;79.0;21.5;24.0;2.1;0.9;0.8;0.4;-26.6;6.9
69063;2021;;;76.2;19.7;28.1;1.8;0.8;0.7;0.3;-25.8;7.4
69064;2014;71.8;66.3;;29.7;11.3;4.3;2.0;1.1;1.1;-17.1;5.5
69064;2015;;;69.8;30.3;12.8;4.1;1.9;1.1;1.1;-17.0;5.0
69064;2016;;;70.2;30.4;11.5;4.2;1.8;1.3;1.1;-16.3;6.2
69064;2017;;;70.4;30.8;11.4;4.1;1.9;1.2;1.0;-16.7;6.9
69064;2018;;;71.1;31.6;10.5;4.4;2.0;1.4;1.0;-17.6;6.5
69064;2019;;;70.2;30.6;11.2;4.8;2.0;1.8;1.0;-16.8;5.5
