id_commune;id_year;nb_menages_fiscaux;nb_personnes_menages_fiscaux;mediane_niveau_vie_euros;pct_menages_imposables
69040;2015;2490.0;5667.0;24776.5;68.0
69040;2016;2470.0;5541.5;24942.5;65.0
69040;2017;2479.0;5643.0;25510.0;66.0
69040;2018;2535.0;5660.0;25820.0;64.0
69040;2019;2628.0;5780.0;26020.0;68.0
69040;2020;2715.0;5921.0;26420.0;62.0
69040;2021;2706.0;5927.0;27100.0;64.0
69042;2014;212.0;622.5;21644.0;
69042;2015;209.0;609.0;21867.2142857143;
69042;2016;210.0;597.5;21175.2173913043;
69042;2017;206.0;592.0;22180.0;
69042;2018;213.0;591.0;23210.0;
69042;2019;207.0;552.0;23800.0;
69042;2020;206.0;546.0;24390.0;
69042;2021;212.0;567.0;25080.0;
69043;2014;3360.0;8907.0;27943.3333333333;77.0
69043;2015;3419.0;8960.5;28070.0;75.0
69043;2016;3440.0;8964.0;28135.0357142857;72.0
69043;2017;3485.0;8968.0;28660.0;72.0
69043;2018;3497.0;9039.0;29560.0;72.0
69043;2019;3522.0;8975.0;30080.0;76.0
69043;2020;3527.0;8980.0;30220.0;71.0
69043;2021;3550.0;9050.0;31090.0;72.0
69044;2014;2083.0;5242.5;33673.3333333333;82.0
69044;2015;2098.0;5248.5;33860.6666666667;80.0
69044;2016;2095.0;5181.5;34261.3333333333;77.0
69044;2017;2124.0;5264.0;34680.0;77.0
69044;2018;2221.0;5442.0;35560.0;76.0
69044;2019;2289.0;5575.0;35440.0;79.0
69044;2020;2360.0;5719.0;35920.0;73.0
69044;2021;2361.0;5686.0;36390.0;75.0
69045;2014;469.0;1185.5;22474.5161290323;
69045;2015;466.0;1191.5;22565.6;
69045;2016;473.0;1201.5;22872.8;
69045;2017;488.0;1238.0;22680.0;
69045;2018;484.0;1192.0;23610.0;
69045;2019;491.0;1234.0;23530.0;
69045;2020;512.0;1240.0;24390.0;
69045;2021;500.0;1208.0;26070.0;
69046;2014;1663.0;4554.5;29876.6666666667;81.0
69046;2015;1703.0;4650.5;29820.3333333333;80.0
69046;2016;1725.0;4691.0;30562.0;77.0
69046;2017;1756.0;4738.0;31190.0;77.0
69046;2018;1794.0;4816.0;31640.0;76.0
69046;2019;1827.0;4834.0;31820.0;80.0
69046;2020;1881.0;4936.0;32310.0;74.0
69046;2021;1850.0;4796.0;33860.0;75.0
69047;2014;383.0;945.5;25618.5714285714;
69047;2015;387.0;977.0;27486.0;
69047;2016;397.0;1003.5;27698.5;
69047;2017;393.0;974.0;29270.0;
69047;2018;401.0;986.0;29680.0;
69047;2019;398.0;942.0;30090.0;
69047;2020;397.0;933.0;31010.0;
69047;2021;402.0;950.0;32860.0;
69049;2014;1023.0;2680.0;28666.8333333333;79.0
69049;2015;1035.0;2707.0;29104.6666666667;74.0
69049;2016;1042.0;2670.0;29768.5714285714;72.0
69049;2017;1058.0;2730.0;29760.0;73.0
69049;2018;1062.0;2710.0;30650.0;73.0
69049;2019;1071.0;2659.0;30670.0;76.0
69049;2020;1091.0;2666.0;32090.0;72.0
69049;2021;1087.0;2665.0;32350.0;74.0
69050;2014;873.0;2201.0;24527.0833333333;70.0
69050;2015;884.0;2244.5;24529.6;68.0
69050;2016;884.0;2223.5;25352.8571428571;64.0
69050;2017;884.0;2235.0;25960.0;66.0
69050;2018;894.0;2238.0;26870.0;65.0
69050;2019;897.0;2238.0;26950.0;69.0
69050;2020;901.0;2240.0;27600.0;63.0
69050;2021;923.0;2293.0;28030.0;66.0
69051;2014;413.0;1137.0;23154.1666666667;
69051;2015;425.0;1143.0;22805.2380952381;
69051;2016;425.0;1157.5;23404.0;
69051;2017;423.0;1167.0;23480.0;
69051;2018;426.0;1166.0;25070.0;
69051;2019;447.0;1224.0;25080.0;
69051;2020;455.0;1243.0;25810.0;
69051;2021;444.0;1185.0;27050.0;
69052;2014;1623.0;4239.0;27484.6666666667;75.0
69052;2015;1647.0;4281.5;27450.9523809524;75.0
69052;2016;1639.0;4252.0;28007.6;72.0
69052;2017;1646.0;4221.0;28460.0;71.0
69052;2018;1661.0;4262.0;29750.0;72.0
69052;2019;1633.0;4180.0;29580.0;76.0
69052;2020;1640.0;4143.0;30150.0;69.0
69052;2021;1720.0;4342.0;31020.0;72.0
69053;2014;203.0;540.5;20893.0434782609;
69053;2015;200.0;530.5;20644.347826087;
69053;2016;205.0;538.0;21890.6666666667;
69053;2017;202.0;510.0;23190.0;
69053;2018;203.0;510.0;23640.0;
69053;2019;207.0;515.0;23260.0;
69053;2020;198.0;487.0;24410.0;
69053;2021;199.0;472.0;25220.0;
69054;2014;157.0;342.0;21485.2222222222;
69054;2015;162.0;349.0;21534.6666666667;
69054;2016;168.0;363.0;22259.5238095238;
69054;2017;164.0;348.0;22110.0;
69054;2018;171.0;364.0;21560.0;
69054;2019;173.0;366.0;22930.0;
69054;2020;168.0;364.0;23460.0;
69054;2021;175.0;379.0;24480.0;
69055;2014;558.0;1510.5;25105.7142857143;
69055;2015;557.0;1511.5;24600.0;
69055;2016;545.0;1421.5;24942.8;
69055;2017;560.0;1462.0;25450.0;
69055;2018;575.0;1476.0;26090.0;
69055;2019;571.0;1437.0;26050.0;
69055;2020;595.0;1462.0;26350.0;
69055;2021;589.0;1464.0;27560.0;
69056;2014;712.0;1940.5;24039.4444444444;
69056;2015;740.0;1979.0;23890.6666666667;
69056;2016;754.0;2015.0;24265.7142857143;66.0
69056;2017;758.0;2049.0;24270.0;65.0
69056;2018;756.0;2060.0;25640.0;64.0
69056;2019;763.0;2052.0;25530.0;70.0
69056;2020;772.0;2045.0;26190.0;65.0
69056;2021;790.0;2070.0;27050.0;68.0
69057;2014;220.0;566.0;25200.8;
69057;2015;222.0;581.0;24728.6666666667;
69057;2016;226.0;590.5;24204.6666666667;
69057;2017;222.0;586.0;25280.0;
69057;2018;224.0;578.0;25480.0;
69057;2019;228.0;578.0;25880.0;
69057;2020;230.0;591.0;25820.0;
69057;2021;238.0;611.0;26530.0;
69058;2014;169.0;398.5;18046.0;
69058;2015;161.0;366.0;18730.9166666667;
69058;2016;166.0;387.5;19686.6666666667;
69058;2017;161.0;383.0;20650.0;
69058;2018;167.0;390.0;21510.0;
69058;2019;174.0;402.0;21390.0;
69058;2020;169.0;394.0;21390.0;
69058;2021;177.0;412.0;23730.0;
69059;2014;565.0;1471.5;24575.652173913;
69059;2015;576.0;1485.0;25297.0;
