id_commune;id_year;taux_pauvrete_ensemble;taux_pauvrete_moins_30ans;taux_pauvrete_30_39ans;taux_pauvrete_40_49ans;taux_pauvrete_50_59ans;taux_pauvrete_60_74ans;taux_pauvrete_75ans_plus;taux_pauvrete_proprietaires;taux_pauvrete_locataires
69080;2018;;;;;;;;;
69080;2019;;;;;;;;;
69080;2020;;;;;;;;;
69080;2021;;;;;;;;;
69081;2014;10.0;;16.0;10.0;10.0;;;5.0;19.0
69081;2015;10.0;;16.0;11.0;10.0;;;5.0;20.0
69081;2016;9.0;;12.0;12.0;10.0;;;5.0;19.0
69081;2017;10.0;;15.0;11.0;11.0;;;5.0;20.0
69081;2018;11.0;;18.0;11.0;12.0;;;5.0;21.0
69081;2019;11.0;28.0;17.0;11.0;12.0;6.0;;5.0;22.0
69081;2020;11.0;29.0;18.0;12.0;12.0;;;5.0;22.0
69081;2021;12.0;;18.0;14.0;11.0;7.0;;5.0;24.0
69082;2014;;;;;;;;;
69082;2015;;;;;;;;;
69082;2016;;;;;;;;;
69082;2017;;;;;;;;;
69082;2018;;;;;;;;;
69082;2019;;;;;;;;;
69082;2020;;;;;;;;;
69082;2021;;;;;;;;;
69083;2014;;;;;;;;;
69083;2015;;;;;;;;;
69083;2016;;;;;;;;;
69083;2017;;;;;;;;;
69083;2018;;;;;;;;;
69083;2019;;;;;;;;;
69083;2020;;;;;;;;;
69083;2021;;;;;;;;;
69084;2014;;;;;;;;;
69084;2015;;;;;;;;;
69084;2016;;;;;;;;;
69084;2017;;;;;;;;;
69084;2018;;;;;;;;;
69084;2019;;;;;;;;;
69084;2020;;;;;;;;;
69084;2021;;;;;;;;;
69085;2014;;;;;;;;;
69085;2015;;;;;;;;;
69085;2016;;;;;;;;;
69085;2017;;;;;;;;;
69085;2018;;;;;;;;;
69085;2019;;;;;;;;;
69085;2020;;;;;;;;;
69085;2021;;;;;;;;;
69086;2014;;;;;;;;;
69086;2015;;;;;;;;;
69086;2016;;;;;;;;;
69086;2017;;;;;;;;;
69086;2018;;;;;;;;;
69086;2019;;;;;;;;;
69086;2020;;;;;;;;;
69086;2021;;;;;;;;;
69087;2014;;;;;;;;;
69087;2015;;;;;;;;;
69087;2016;;;;;;;;;
69087;2017;;;;;;;;;
69087;2018;;;;;;;;;
69087;2019;;;;;;;;;
69087;2020;;;;;;;;;
69087;2021;;;;;;;;;
69088;2014;11.0;;17.0;14.0;;;;;20.0
69088;2015;11.0;;16.0;12.0;;;;;21.0
69088;2016;11.0;;14.0;14.0;;;;;20.0
69088;2017;11.0;;;15.0;;;;;20.0
69088;2018;11.0;;;14.0;;;;;21.0
69088;2019;10.0;;;12.0;;;;;18.0
69088;2020;10.0;;15.0;13.0;;;;;19.0
69088;2021;11.0;;;14.0;;;;;21.0
69089;2014;7.0;;9.0;8.0;;;;5.0;15.0
69089;2015;7.0;;10.0;8.0;;;;;16.0
69089;2016;7.0;;12.0;8.0;;;;;17.0
69089;2017;7.0;;11.0;8.0;;;;5.0;16.0
69089;2018;7.0;;10.0;7.0;;;;;16.0
69089;2019;7.0;;10.0;8.0;7.0;;;;17.0
69089;2020;7.0;;9.0;8.0;7.0;;;;16.0
69089;2021;8.0;;11.0;11.0;;;;5.0;19.0
69090;2014;;;;;;;;;
69090;2015;;;;;;;;;
69090;2016;;;;;;;;;
69090;2017;;;;;;;;;
69090;2018;;;;;;;;;
69090;2019;;;;;;;;;
69090;2020;;;;;;;;;
69090;2021;;;;;;;;;
69091;2014;27.0;35.0;32.0;33.0;25.0;16.0;14.0;7.0;41.0
69091;2015;28.0;37.0;33.0;34.0;28.0;16.0;14.0;8.0;42.0
69091;2016;27.0;33.0;33.0;34.0;27.0;15.0;15.0;7.0;42.0
69091;2017;28.0;35.0;35.0;34.0;29.0;16.0;14.0;8.0;43.0
69091;2018;29.0;35.0;36.0;34.0;30.0;17.0;15.0;8.0;44.0
69091;2019;30.0;37.0;38.0;34.0;30.0;18.0;15.0;9.0;45.0
69091;2020;29.0;34.0;34.0;34.0;31.0;17.0;16.0;8.0;44.0
69091;2021;30.0;36.0;32.0;34.0;33.0;19.0;17.0;9.0;45.0
69092;2014;14.0;;18.0;17.0;;;;5.0;26.0
69092;2015;14.0;;21.0;17.0;;;;5.0;27.0
69092;2016;14.0;;22.0;16.0;;;;;27.0
69092;2017;13.0;;20.0;16.0;;;;;25.0
69092;2018;14.0;;25.0;18.0;;;;;29.0
69092;2019;13.0;;22.0;17.0;14.0;;;;29.0
69092;2020;13.0;;22.0;15.0;13.0;;;;28.0
69092;2021;14.0;;19.0;17.0;16.0;;;;32.0
69093;2014;;;;;;;;;
69093;2015;;;;;;;;;
69093;2016;;;;;;;;;
69093;2017;;;;;;;;;
69093;2018;;;;;;;;;
69093;2019;;;;;;;;;
69093;2020;;;;;;;;;
69093;2021;;;;;;;;;
69094;2014;5.0;;;;;;;;
69094;2015;5.0;;;;;;;;
69094;2016;5.0;;;;;;;;11.0
69094;2017;6.0;;;;;;;;13.0
69094;2018;6.0;;;;;;;;13.0
69094;2019;7.0;;;;;;;;15.0
69094;2020;6.0;;;;;;;;13.0
69094;2021;7.0;;;;;;;;15.0
69095;2014;;;;;;;;;
69095;2015;;;;;;;;;
69095;2016;;;;;;;;;
69095;2017;;;;;;;;;
69095;2018;;;;;;;;;
69095;2019;;;;;;;;;
69095;2020;;;;;;;;;
69095;2021;;;;;;;;;
69096;2014;15.0;;17.0;21.0;;;;6.0;27.0
69096;2015;15.0;;18.0;18.0;15.0;;;6.0;27.0
69096;2016;16.0;;17.0;19.0;15.0;;;6.0;27.0
69096;2017;15.0;;15.0;17.0;19.0;;;7.0;26.0
69096;2018;15.0;;16.0;17.0;16.0;;;6.0;28.0
69096;2019;15.0;;17.0;18.0;15.0;;;6.0;29.0
69096;2020;15.0;;17.0;14.0;16.0;;;5.0;28.0
69096;2021;17.0;;19.0;18.0;17.0;;;5.0;33.0
69097;2014;;;;;;;;;
69097;2015;;;;;;;;;
69097;2016;;;;;;;;;
69097;2017;;;;;;;;;
69097;2018;;;;;;;;;
69097;2019;;;;;;;;;
69097;2020;;;;;;;;;
69097;2021;;;;;;;;;
69098;2014;;;;;;;;;
69098;2015;;;;;;;;;
69098;2016;;;;;;;;;
69098;2017;;;;;;;;;
69098;2018;;;;;;;;;
69098;2019;;;;;;;;;
69098;2020;;;;;;;;;
69098;2021;;;;;;;;;
69099;2014;;;;;;;;;
69099;2015;;;;;;;;;
69099;2016;;;;;;;;;
69099;2017;;;;;;;;;
69099;2018;;;;;;;;;
69099;2019;;;;;;;;;
69099;2020;;;;;;;;;
69099;2021;;;;;;;;;
69100;2014;10.0;;;12.0;;;;6.0;17.0
69100;2015;10.0;;13.0;10.0;12.0;;;6.0;17.0
69100;2016;11.0;;14.0;10.0;15.0;;;6.0;21.0
