code_departement;libelle_departement;code_commune;libelle_commune;annee_election;tour;inscrits;abstentions;votants;blancs;nuls;blancs_et_nuls;exprimes;pct_abs_ins;pct_vot_ins;pct_blancs_ins;pct_blancs_vot;pct_nuls_ins;pct_nuls_vot;pct_blancs_et_nuls_ins;pct_blancs_et_nuls_vot;pct_exprimes_ins;pct_exprimes_vot;numero_panneau;sexe;nom;prenom;voix;pct_voix_ins;pct_voix_exprimes;nuance;source_dataset;date_refresh
69;RHONE;128;Mardore;2012;2;415;55;360;21;0;21;339;13.25;86.75;5.06;5.83;0.0;0.0;5.06;5.83;81.69;94.17;2;M;SARKOZY;Nicolas;203;48.92;59.88;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;129;Marnand;2012;2;467;70;397;35;0;35;362;14.99;85.01;7.49;8.82;0.0;0.0;7.49;8.82;77.52;91.18;1;M;HOLLANDE;François;115;24.63;31.77;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;129;Marnand;2012;2;467;70;397;35;0;35;362;14.99;85.01;7.49;8.82;0.0;0.0;7.49;8.82;77.52;91.18;2;M;SARKOZY;Nicolas;247;52.89;68.23;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;013;Arnas;2012;2;2379;359;2020;100;0;100;1920;15.09;84.91;4.2;4.95;0.0;0.0;4.2;4.95;80.71;95.05;1;M;HOLLANDE;François;750;31.53;39.06;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;013;Arnas;2012;2;2379;359;2020;100;0;100;1920;15.09;84.91;4.2;4.95;0.0;0.0;4.2;4.95;80.71;95.05;2;M;SARKOZY;Nicolas;1170;49.18;60.94;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;130;Meaux-la-Montagne;2012;2;187;31;156;12;0;12;144;16.58;83.42;6.42;7.69;0.0;0.0;6.42;7.69;77.01;92.31;1;M;HOLLANDE;François;56;29.95;38.89;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;130;Meaux-la-Montagne;2012;2;187;31;156;12;0;12;144;16.58;83.42;6.42;7.69;0.0;0.0;6.42;7.69;77.01;92.31;2;M;SARKOZY;Nicolas;88;47.06;61.11;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;131;Messimy;2012;2;2362;278;2084;105;0;105;1979;11.77;88.23;4.45;5.04;0.0;0.0;4.45;5.04;83.78;94.96;1;M;HOLLANDE;François;738;31.24;37.29;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;131;Messimy;2012;2;2362;278;2084;105;0;105;1979;11.77;88.23;4.45;5.04;0.0;0.0;4.45;5.04;83.78;94.96;2;M;SARKOZY;Nicolas;1241;52.54;62.71;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;132;Meys;2012;2;588;75;513;30;0;30;483;12.76;87.24;5.1;5.85;0.0;0.0;5.1;5.85;82.14;94.15;1;M;HOLLANDE;François;149;25.34;30.85;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;132;Meys;2012;2;588;75;513;30;0;30;483;12.76;87.24;5.1;5.85;0.0;0.0;5.1;5.85;82.14;94.15;2;M;SARKOZY;Nicolas;334;56.8;69.15;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;133;Millery;2012;2;2816;317;2499;125;0;125;2374;11.26;88.74;4.44;5.0;0.0;0.0;4.44;5.0;84.3;95.0;1;M;HOLLANDE;François;987;35.05;41.58;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;133;Millery;2012;2;2816;317;2499;125;0;125;2374;11.26;88.74;4.44;5.0;0.0;0.0;4.44;5.0;84.3;95.0;2;M;SARKOZY;Nicolas;1387;49.25;58.42;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;134;Moiré;2012;2;161;12;149;8;0;8;141;7.45;92.55;4.97;5.37;0.0;0.0;4.97;5.37;87.58;94.63;1;M;HOLLANDE;François;64;39.75;45.39;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;134;Moiré;2012;2;161;12;149;8;0;8;141;7.45;92.55;4.97;5.37;0.0;0.0;4.97;5.37;87.58;94.63;2;M;SARKOZY;Nicolas;77;47.83;54.61;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;135;Monsols;2012;2;601;115;486;31;0;31;455;19.13;80.87;5.16;6.38;0.0;0.0;5.16;6.38;75.71;93.62;1;M;HOLLANDE;François;212;35.27;46.59;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;135;Monsols;2012;2;601;115;486;31;0;31;455;19.13;80.87;5.16;6.38;0.0;0.0;5.16;6.38;75.71;93.62;2;M;SARKOZY;Nicolas;243;40.43;53.41;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;136;Montagny;2012;2;1749;212;1537;86;0;86;1451;12.12;87.88;4.92;5.6;0.0;0.0;4.92;5.6;82.96;94.4;1;M;HOLLANDE;François;538;30.76;37.08;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;136;Montagny;2012;2;1749;212;1537;86;0;86;1451;12.12;87.88;4.92;5.6;0.0;0.0;4.92;5.6;82.96;94.4;2;M;SARKOZY;Nicolas;913;52.2;62.92;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;137;Montmelas-Saint-Sorlin;2012;2;253;31;222;7;0;7;215;12.25;87.75;2.77;3.15;0.0;0.0;2.77;3.15;84.98;96.85;1;M;HOLLANDE;François;100;39.53;46.51;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;137;Montmelas-Saint-Sorlin;2012;2;253;31;222;7;0;7;215;12.25;87.75;2.77;3.15;0.0;0.0;2.77;3.15;84.98;96.85;2;M;SARKOZY;Nicolas;115;45.45;53.49;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;138;Montromant;2012;2;318;37;281;16;0;16;265;11.64;88.36;5.03;5.69;0.0;0.0;5.03;5.69;83.33;94.31;1;M;HOLLANDE;François;113;35.53;42.64;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;138;Montromant;2012;2;318;37;281;16;0;16;265;11.64;88.36;5.03;5.69;0.0;0.0;5.03;5.69;83.33;94.31;2;M;SARKOZY;Nicolas;152;47.8;57.36;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;139;Montrottier;2012;2;1088;186;902;79;0;79;823;17.1;82.9;7.26;8.76;0.0;0.0;7.26;8.76;75.64;91.24;1;M;HOLLANDE;François;347;31.89;42.16;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;139;Montrottier;2012;2;1088;186;902;79;0;79;823;17.1;82.9;7.26;8.76;0.0;0.0;7.26;8.76;75.64;91.24;2;M;SARKOZY;Nicolas;476;43.75;57.84;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
