code_insee;nom_standard;typecom;typecom_texte;reg_code;reg_nom;dep_code;dep_nom;canton_code;canton_nom;epci_code;epci_nom;academie_code;academie_nom;code_postal;codes_postaux;zone_emploi;code_insee_centre_zone_emploi;code_unite_urbaine;nom_unite_urbaine;taille_unite_urbaine;type_commune_unite_urbaine;statut_commune_unite_urbaine;population;superficie_hectare;superficie_km2;densite;altitude_moyenne;altitude_minimale;altitude_maximale;latitude_mairie;longitude_mairie;latitude_centre;longitude_centre;grille_densite;grille_densite_texte;niveau_equipements_services;niveau_equipements_services_texte;gentile;extraction_source_url;ingestion_timestamp;source_file_name
69031;Brussieu;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6902;L'Arbresle;200066587;CC des Monts du Lyonnais;10;Lyon;69690;69690;08421;69123;69000;;0;HORS UNITE URBAINE;H;1376;684;7;201;451;297;599;45.748;4.525;45.747;4.517;5;Bourgs ruraux;1;centres locaux d'équipements et de services;;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69032;Bully;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6904;Val d'Oingt;246900625;CC du Pays de l'Arbresle (CCPA);10;Lyon;69210;69210, 69595;08421;69123;69401;L'Arbresle;4;UNITE URBAINE;B;2076;1275;13;163;332;230;427;45.853;4.583;45.859;4.581;6;Rural à habitat dispersé;1;centres locaux d'équipements et de services;Bullylois;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69033;Cailloux-sur-Fontaines;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6999;Lyon;200046977;Métropole de Lyon;10;Lyon;69270;69270;08421;69123;00760;Lyon;7;UNITE URBAINE;B;2937;838;8;350;274;218;314;45.852;4.872;45.86;4.884;4;Ceintures urbaines;1;centres locaux d'équipements et de services;Cailloutains;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69034;Caluire-et-Cuire;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6999;Lyon;200046977;Métropole de Lyon;10;Lyon;69300;69477, 69646, 69641, 69642, 69300, 69643, 69244, 69645, 69647, 69732, 69644;08421;69123;00760;Lyon;7;UNITE URBAINE;B;43572;1040;10;4190;228;165;275;45.797;4.842;45.797;4.851;1;Grands centres urbains;3;centres structurants d'équipements et de services;Caluirards;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69035;Cenves;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6903;Belleville-en-Beaujolais;200067817;CC Saône-Beaujolais;10;Lyon;69840;69840;08434;69264;69000;;0;HORS UNITE URBAINE;H;376;2633;26;14;564;335;747;46.268;4.65;46.279;4.661;6;Rural à habitat dispersé;0;communes non pôle;Cenvards;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69036;Cercié;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6903;Belleville-en-Beaujolais;200067817;CC Saône-Beaujolais;10;Lyon;69220;69220;08434;69264;00451;Belleville-en-Beaujolais;4;UNITE URBAINE;B;1138;499;5;228;234;199;293;46.12;4.671;46.126;4.667;5;Bourgs ruraux;1;centres locaux d'équipements et de services;Cerciaton(s), Cerciatonne(s);https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69037;Chambost-Allières;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6910;Tarare;200040566;CA de l'Ouest Rhodanien;10;Lyon;69870;69870;08430;69243;69000;;0;HORS UNITE URBAINE;H;831;1392;14;60;497;320;865;46.018;4.498;46.015;4.51;6;Rural à habitat dispersé;1;centres locaux d'équipements et de services;;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69038;Chambost-Longessaigne;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6902;L'Arbresle;200066587;CC des Monts du Lyonnais;10;Lyon;69770;69770;08428;42218;69000;;0;HORS UNITE URBAINE;H;919;1540;15;60;576;477;681;45.772;4.369;45.774;4.38;6;Rural à habitat dispersé;0;communes non pôle;Chambostiens;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69039;Chamelet;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6904;Val d'Oingt;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69620;69620;08421;69123;69000;;0;HORS UNITE URBAINE;H;700;1472;15;48;486;291;742;45.983;4.51;45.985;4.499;6;Rural à habitat dispersé;0;communes non pôle;;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69040;Champagne-au-Mont-d'Or;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6999;Lyon;200046977;Métropole de Lyon;10;Lyon;69410;69410, 69544, 69543, 69542;08421;69123;00760;Lyon;7;UNITE URBAINE;B;5936;259;3;2292;280;200;308;45.795;4.791;45.798;4.787;1;Grands centres urbains;2;centres intermédiaires d'équipements et de services;Champenois;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69042;La Chapelle-sur-Coise;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6912;Vaugneray;200066587;CC des Monts du Lyonnais;10;Lyon;69590;69590;08428;42218;69000;;0;HORS UNITE URBAINE;H;568;666;7;85;696;599;784;45.654;4.5;45.65;4.496;6;Rural à habitat dispersé;0;communes non pôle;;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69043;Chaponost;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6905;Brignais;246900757;CC de la Vallée du Garon (CCVG);10;Lyon;69630;69630;08421;69123;00760;Lyon;7;UNITE URBAINE;B;9052;1614;16;561;291;180;336;45.71;4.742;45.709;4.746;4;Ceintures urbaines;2;centres intermédiaires d'équipements et de services;Chaponois, Chaponoises;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69044;Charbonnières-les-Bains;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6999;Lyon;200046977;Métropole de Lyon;10;Lyon;69260;69751, 69260;08421;69123;00760;Lyon;7;UNITE URBAINE;B;5311;411;4;1292;261;211;295;45.778;4.744;45.78;4.743;4;Ceintures urbaines;2;centres intermédiaires d'équipements et de services;Charbonnois, Charbonnoises;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69045;Charentay;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6903;Belleville-en-Beaujolais;200067817;CC Saône-Beaujolais;10;Lyon;69220;69220;08434;69264;69000;;0;HORS UNITE URBAINE;H;1265;1391;14;91;206;175;272;46.088;4.68;46.084;4.689;5;Bourgs ruraux;1;centres locaux d'équipements et de services;Charentois;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69046;Charly;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6999;Lyon;200046977;Métropole de Lyon;10;Lyon;69390;69390;08421;69123;00760;Lyon;7;UNITE URBAINE;B;4606;514;5;896;257;205;305;45.649;4.795;45.651;4.79;4;Ceintures urbaines;1;centres locaux d'équipements et de services;Charlyrot;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
