code_departement;libelle_departement;code_commune;libelle_commune;annee_election;tour;inscrits;abstentions;votants;blancs;nuls;exprimes;pct_abs_ins;pct_vot_ins;pct_blancs_ins;pct_blancs_vot;pct_nuls_ins;pct_nuls_vot;pct_exprimes_ins;pct_exprimes_vot;numero_panneau;sexe;nom;prenom;voix;pct_voix_ins;pct_voix_exprimes;nuance;source_dataset;date_refresh
69;Rhône;036;Cercié;2022;2;814;165;649;37;9;603;20.27;79.73;4.55;5.7;1.11;1.39;74.08;92.91;1;M;MACRON;Emmanuel;312;38.33;51.74;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;036;Cercié;2022;2;814;165;649;37;9;603;20.27;79.73;4.55;5.7;1.11;1.39;74.08;92.91;2;F;LE PEN;Marine;291;35.75;48.26;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;037;Chambost-Allières;2022;2;594;124;470;28;12;430;20.88;79.12;4.71;5.96;2.02;2.55;72.39;91.49;1;M;MACRON;Emmanuel;183;30.81;42.56;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;037;Chambost-Allières;2022;2;594;124;470;28;12;430;20.88;79.12;4.71;5.96;2.02;2.55;72.39;91.49;2;F;LE PEN;Marine;247;41.58;57.44;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;038;Chambost-Longessaigne;2022;2;694;148;546;53;9;484;21.33;78.67;7.64;9.71;1.3;1.65;69.74;88.64;1;M;MACRON;Emmanuel;264;38.04;54.55;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;038;Chambost-Longessaigne;2022;2;694;148;546;53;9;484;21.33;78.67;7.64;9.71;1.3;1.65;69.74;88.64;2;F;LE PEN;Marine;220;31.7;45.45;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;039;Chamelet;2022;2;527;119;408;34;6;368;22.58;77.42;6.45;8.33;1.14;1.47;69.83;90.2;1;M;MACRON;Emmanuel;212;40.23;57.61;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;039;Chamelet;2022;2;527;119;408;34;6;368;22.58;77.42;6.45;8.33;1.14;1.47;69.83;90.2;2;F;LE PEN;Marine;156;29.6;42.39;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;040;Champagne-au-Mont-d'Or;2022;2;4044;925;3119;155;48;2916;22.87;77.13;3.83;4.97;1.19;1.54;72.11;93.49;1;M;MACRON;Emmanuel;2031;50.22;69.65;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;040;Champagne-au-Mont-d'Or;2022;2;4044;925;3119;155;48;2916;22.87;77.13;3.83;4.97;1.19;1.54;72.11;93.49;2;F;LE PEN;Marine;885;21.88;30.35;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;042;La Chapelle-sur-Coise;2022;2;434;74;360;19;3;338;17.05;82.95;4.38;5.28;0.69;0.83;77.88;93.89;1;M;MACRON;Emmanuel;179;41.24;52.96;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;042;La Chapelle-sur-Coise;2022;2;434;74;360;19;3;338;17.05;82.95;4.38;5.28;0.69;0.83;77.88;93.89;2;F;LE PEN;Marine;159;36.64;47.04;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;043;Chaponost;2022;2;6854;1348;5506;277;61;5168;19.67;80.33;4.04;5.03;0.89;1.11;75.4;93.86;1;M;MACRON;Emmanuel;3729;54.41;72.16;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;043;Chaponost;2022;2;6854;1348;5506;277;61;5168;19.67;80.33;4.04;5.03;0.89;1.11;75.4;93.86;2;F;LE PEN;Marine;1439;21.0;27.84;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;044;Charbonnières-les-Bains;2022;2;4288;702;3586;161;38;3387;16.37;83.63;3.75;4.49;0.89;1.06;78.99;94.45;1;M;MACRON;Emmanuel;2555;59.58;75.44;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;044;Charbonnières-les-Bains;2022;2;4288;702;3586;161;38;3387;16.37;83.63;3.75;4.49;0.89;1.06;78.99;94.45;2;F;LE PEN;Marine;832;19.4;24.56;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;045;Charentay;2022;2;898;151;747;53;12;682;16.82;83.18;5.9;7.1;1.34;1.61;75.95;91.3;1;M;MACRON;Emmanuel;346;38.53;50.73;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;045;Charentay;2022;2;898;151;747;53;12;682;16.82;83.18;5.9;7.1;1.34;1.61;75.95;91.3;2;F;LE PEN;Marine;336;37.42;49.27;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;046;Charly;2022;2;3813;684;3129;123;40;2966;17.94;82.06;3.23;3.93;1.05;1.28;77.79;94.79;1;M;MACRON;Emmanuel;2140;56.12;72.15;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;046;Charly;2022;2;3813;684;3129;123;40;2966;17.94;82.06;3.23;3.93;1.05;1.28;77.79;94.79;2;F;LE PEN;Marine;826;21.66;27.85;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;047;Charnay;2022;2;709;119;590;27;6;557;16.78;83.22;3.81;4.58;0.85;1.02;78.56;94.41;1;M;MACRON;Emmanuel;389;54.87;69.84;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;047;Charnay;2022;2;709;119;590;27;6;557;16.78;83.22;3.81;4.58;0.85;1.02;78.56;94.41;2;F;LE PEN;Marine;168;23.7;30.16;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;049;Chasselay;2022;2;2312;494;1818;114;28;1676;21.37;78.63;4.93;6.27;1.21;1.54;72.49;92.19;1;M;MACRON;Emmanuel;1125;48.66;67.12;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;049;Chasselay;2022;2;2312;494;1818;114;28;1676;21.37;78.63;4.93;6.27;1.21;1.54;72.49;92.19;2;F;LE PEN;Marine;551;23.83;32.88;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;050;Châtillon;2022;2;1752;416;1336;101;25;1210;23.74;76.26;5.76;7.56;1.43;1.87;69.06;90.57;1;M;MACRON;Emmanuel;780;44.52;64.46;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;050;Châtillon;2022;2;1752;416;1336;101;25;1210;23.74;76.26;5.76;7.56;1.43;1.87;69.06;90.57;2;F;LE PEN;Marine;430;24.54;35.54;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;051;Chaussan;2022;2;878;173;705;64;10;631;19.7;80.3;7.29;9.08;1.14;1.42;71.87;89.5;1;M;MACRON;Emmanuel;396;45.1;62.76;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
69;Rhône;051;Chaussan;2022;2;878;173;705;64;10;631;19.7;80.3;7.29;9.08;1.14;1.42;71.87;89.5;2;F;LE PEN;Marine;235;26.77;37.24;RN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-24T14:42:55
