commune_id;Code du département;Libellé du département;Code de la commune;Libellé de la commune;Etat saisie;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;extraction_source_url;ingestion_timestamp;source_file_name
69_052;69;Rhône;052;Chazay-d'Azergues;Complet;3445;729;21.16;2716;78.84;221;6.42;8.14;0;0.0;0.0;2495;72.42;91.86;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_053;69;Rhône;053;Chénas;Complet;453;116;25.61;337;74.39;23;5.08;6.82;11;2.43;3.26;303;66.89;89.91;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_054;69;Rhône;054;Chénelette;Complet;288;50;17.36;238;82.64;25;8.68;10.5;2;0.69;0.84;211;73.26;88.66;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_055;69;Rhône;055;Les Chères;Complet;1086;217;19.98;869;80.02;44;4.05;5.06;13;1.2;1.5;812;74.77;93.44;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_056;69;Rhône;056;Chessy-les-Mines;Complet;1445;302;20.9;1143;79.1;70;4.84;6.12;14;0.97;1.22;1059;73.29;92.65;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_057;69;Rhône;057;Chevinay;Complet;449;89;19.82;360;80.18;20;4.45;5.56;3;0.67;0.83;337;75.06;93.61;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_058;69;Rhône;058;Chiroubles;Complet;342;68;19.88;274;80.12;19;5.56;6.93;4;1.17;1.46;251;73.39;91.61;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_059;69;Rhône;059;Civrieux-d'Azergues;Complet;1180;231;19.58;949;80.42;40;3.39;4.21;11;0.93;1.16;898;76.1;94.63;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_060;69;Rhône;060;Claveisolles;Complet;451;80;17.74;371;82.26;16;3.55;4.31;2;0.44;0.54;353;78.27;95.15;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_061;69;Rhône;061;Cogny;Complet;933;177;18.97;756;81.03;37;3.97;4.89;7;0.75;0.93;712;76.31;94.18;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
