Code du département;Libellé du département;Code de la commune;Libellé de la commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe_1;Nom_1;Prénom_1;Voix_1;% Voix/Ins_1;% Voix/Exp_1;Sexe_2;Nom_2;Prénom_2;Voix_2;% Voix/Ins_2;% Voix/Exp_2;source_sheet_name;extraction_source_url;ingestion_timestamp;source_file_name
69;RHONE;48;Chassagny;878;90;10.25;788;89.75;56;6.38;7.11;732;83.37;92.89;M;HOLLANDE;François;329;37.47;44.95;M;SARKOZY;Nicolas;403;45.9;55.05;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;49;Chasselay;2089;301;14.41;1788;85.59;102;4.88;5.7;1686;80.71;94.3;M;HOLLANDE;François;558;26.71;33.1;M;SARKOZY;Nicolas;1128;54;66.9;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;50;Châtillon;1515;195;12.87;1320;87.13;67;4.42;5.08;1253;82.71;94.92;M;HOLLANDE;François;526;34.72;41.98;M;SARKOZY;Nicolas;727;47.99;58.02;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;51;Chaussan;778;71;9.13;707;90.87;37;4.76;5.23;670;86.12;94.77;M;HOLLANDE;François;300;38.56;44.78;M;SARKOZY;Nicolas;370;47.56;55.22;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;52;Chazay-d'Azergues;3100;447;14.42;2653;85.58;147;4.74;5.54;2506;80.84;94.46;M;HOLLANDE;François;994;32.06;39.66;M;SARKOZY;Nicolas;1512;48.77;60.34;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;53;Chénas;385;60;15.58;325;84.42;17;4.42;5.23;308;80;94.77;M;HOLLANDE;François;116;30.13;37.66;M;SARKOZY;Nicolas;192;49.87;62.34;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;54;Chénelette;276;41;14.86;235;85.14;14;5.07;5.96;221;80.07;94.04;M;HOLLANDE;François;61;22.1;27.6;M;SARKOZY;Nicolas;160;57.97;72.4;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;55;Les Chères;955;135;14.14;820;85.86;53;5.55;6.46;767;80.31;93.54;M;HOLLANDE;François;241;25.24;31.42;M;SARKOZY;Nicolas;526;55.08;68.58;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;56;Chessy;1184;189;15.96;995;84.04;53;4.48;5.33;942;79.56;94.67;M;HOLLANDE;François;397;33.53;42.14;M;SARKOZY;Nicolas;545;46.03;57.86;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;57;Chevinay;401;31;7.73;370;92.27;21;5.24;5.68;349;87.03;94.32;M;HOLLANDE;François;139;34.66;39.83;M;SARKOZY;Nicolas;210;52.37;60.17;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
