Code du département;Libellé du département;Code de la commune;Libellé de la commune;Etat saisie;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;N°Panneau_1;Sexe_1;Nom_1;Prénom_1;Voix_1;% Voix/Ins_1;% Voix/Exp_1;N°Panneau_2;Sexe_2;Nom_2;Prénom_2;Voix_2;% Voix/Ins_2;% Voix/Exp_2;extraction_source_url;ingestion_timestamp;source_file_name
69;Rhône;038;Chambost-Longessaigne;Complet;694;148;21.33;546;78.67;53;7.64;9.71;9;1.3;1.65;484;69.74;88.64;1;M;MACRON;Emmanuel;264;38.04;54.55;2;F;LE PEN;Marine;220;31.7;45.45;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;039;Chamelet;Complet;527;119;22.58;408;77.42;34;6.45;8.33;6;1.14;1.47;368;69.83;90.2;1;M;MACRON;Emmanuel;212;40.23;57.61;2;F;LE PEN;Marine;156;29.6;42.39;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;040;Champagne-au-Mont-d'Or;Complet;4044;925;22.87;3119;77.13;155;3.83;4.97;48;1.19;1.54;2916;72.11;93.49;1;M;MACRON;Emmanuel;2031;50.22;69.65;2;F;LE PEN;Marine;885;21.88;30.35;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;042;La Chapelle-sur-Coise;Complet;434;74;17.05;360;82.95;19;4.38;5.28;3;0.69;0.83;338;77.88;93.89;1;M;MACRON;Emmanuel;179;41.24;52.96;2;F;LE PEN;Marine;159;36.64;47.04;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;043;Chaponost;Complet;6854;1348;19.67;5506;80.33;277;4.04;5.03;61;0.89;1.11;5168;75.4;93.86;1;M;MACRON;Emmanuel;3729;54.41;72.16;2;F;LE PEN;Marine;1439;21;27.84;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;044;Charbonnières-les-Bains;Complet;4288;702;16.37;3586;83.63;161;3.75;4.49;38;0.89;1.06;3387;78.99;94.45;1;M;MACRON;Emmanuel;2555;59.58;75.44;2;F;LE PEN;Marine;832;19.4;24.56;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;045;Charentay;Complet;898;151;16.82;747;83.18;53;5.9;7.1;12;1.34;1.61;682;75.95;91.3;1;M;MACRON;Emmanuel;346;38.53;50.73;2;F;LE PEN;Marine;336;37.42;49.27;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;046;Charly;Complet;3813;684;17.94;3129;82.06;123;3.23;3.93;40;1.05;1.28;2966;77.79;94.79;1;M;MACRON;Emmanuel;2140;56.12;72.15;2;F;LE PEN;Marine;826;21.66;27.85;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;047;Charnay;Complet;709;119;16.78;590;83.22;27;3.81;4.58;6;0.85;1.02;557;78.56;94.41;1;M;MACRON;Emmanuel;389;54.87;69.84;2;F;LE PEN;Marine;168;23.7;30.16;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;049;Chasselay;Complet;2312;494;21.37;1818;78.63;114;4.93;6.27;28;1.21;1.54;1676;72.49;92.19;1;M;MACRON;Emmanuel;1125;48.66;67.12;2;F;LE PEN;Marine;551;23.83;32.88;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;050;Châtillon;Complet;1752;416;23.74;1336;76.26;101;5.76;7.56;25;1.43;1.87;1210;69.06;90.57;1;M;MACRON;Emmanuel;780;44.52;64.46;2;F;LE PEN;Marine;430;24.54;35.54;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;051;Chaussan;Complet;878;173;19.7;705;80.3;64;7.29;9.08;10;1.14;1.42;631;71.87;89.5;1;M;MACRON;Emmanuel;396;45.1;62.76;2;F;LE PEN;Marine;235;26.77;37.24;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;052;Chazay-d'Azergues;Complet;3445;729;21.16;2716;78.84;221;6.42;8.14;0;0;0;2495;72.42;91.86;1;M;MACRON;Emmanuel;1708;49.58;68.46;2;F;LE PEN;Marine;787;22.84;31.54;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
