Libellé de la commune;Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Voix_1;Voix_2;N°Panneau_1;Sexe_1;Nom_1;Prénom_1;N°Panneau_2;Sexe_2;Nom_2;Prénom_2;% Abs/Ins;% Vot/Ins;% Blancs/Ins;% Blancs/Vot;% Nuls/Ins;% Nuls/Vot;% Exp/Ins;% Exp/Vot;% Voix/Ins_1;% Voix/Exp_1;% Voix/Ins_2;% Voix/Exp_2;extraction_source_url;ingestion_timestamp;source_file_name
Chamelet;69;Rhône;08;8ème circonscription;487.0;98.0;389.0;31.0;17.0;341.0;199.0;142.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;20.12;79.88;6.37;7.97;3.49;4.37;70.02;87.66;40.86;58.36;29.16;41.64;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Champagne-au-Mont-d'Or;69;Rhône;08;8ème circonscription;3827.0;821.0;3006.0;228.0;76.0;2702.0;2069.0;633.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;21.45;78.55;5.96;7.58;1.99;2.53;70.6;89.89;54.06;76.57;16.54;23.43;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Chaponnay;69;Rhône;11;11ème circonscription;3318.0;630.0;2688.0;268.0;42.0;2378.0;1497.0;881.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;18.99;81.01;8.08;9.97;1.27;1.56;71.67;88.47;45.12;62.95;26.55;37.05;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Chaponost;69;Rhône;10;10ème circonscription;6493.0;1113.0;5380.0;419.0;87.0;4874.0;3739.0;1135.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;17.14;82.86;6.45;7.79;1.34;1.62;75.07;90.59;57.59;76.71;17.48;23.29;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Charbonnières-les-Bains;69;Rhône;10;10ème circonscription;4299.0;979.0;3320.0;273.0;58.0;2989.0;2419.0;570.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;22.77;77.23;6.35;8.22;1.35;1.75;69.53;90.03;56.27;80.93;13.26;19.07;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Charentay;69;Rhône;09;9ème circonscription;887.0;160.0;727.0;57.0;18.0;652.0;378.0;274.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;18.04;81.96;6.43;7.84;2.03;2.48;73.51;89.68;42.62;57.98;30.89;42.02;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Charly;69;Rhône;12;12ème circonscription;3687.0;670.0;3017.0;274.0;52.0;2691.0;2063.0;628.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;18.17;81.83;7.43;9.08;1.41;1.72;72.99;89.19;55.95;76.66;17.03;23.34;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Charnay;69;Rhône;09;9ème circonscription;710.0;154.0;556.0;41.0;15.0;500.0;390.0;110.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;21.69;78.31;5.77;7.37;2.11;2.7;70.42;89.93;54.93;78.0;15.49;22.0;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Chassagny;69;Rhône;11;11ème circonscription;1058.0;177.0;881.0;89.0;14.0;778.0;464.0;314.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;16.73;83.27;8.41;10.1;1.32;1.59;73.53;88.31;43.86;59.64;29.68;40.36;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Chasselay;69;Rhône;05;5ème circonscription;2286.0;529.0;1757.0;178.0;34.0;1545.0;1127.0;418.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;23.14;76.86;7.79;10.13;1.49;1.94;67.59;87.93;49.3;72.94;18.29;27.06;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Chassieu;69;Rhône;13;13ème circonscription;7757.0;1627.0;6130.0;514.0;130.0;5486.0;3767.0;1719.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;20.97;79.03;6.63;8.38;1.68;2.12;70.72;89.49;48.56;68.67;22.16;31.33;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Chaussan;69;Rhône;11;11ème circonscription;839.0;144.0;695.0;85.0;12.0;598.0;416.0;182.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;17.16;82.84;10.13;12.23;1.43;1.73;71.28;86.04;49.58;69.57;21.69;30.43;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
