CODGEO,LIBGEO,NBMENFISC14,NBPERSMENFISC14,MED14,PIMP14,TP6014,TP60AGE114,TP60AGE214,TP60AGE314,TP60AGE414,TP60AGE514,TP60AGE614,TP60TOL114,TP60TOL214,PRA14,PTSAC14,PBEN14,PPEN14,PPAT14,PPSOC14,PPFAM14,PPMINI14,PPLOGT14,PIMPOT14,D114,D914,RD14,year,extraction_source_url,ingestion_timestamp,source_file_name
69063,Collonges-au-Mont-d'Or,1657,4346,30951.4285714286,79,5,,,,,,,,,86.2,75.6,10.6,20.8,17.4,2,1.2,0.4,0.4,-26.4,15284.7619047619,65282.3809523809,4.27107607950651,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69064,Condrieu,1625,3639.5,20791.6,59,12,,,,,,,,22,71.8,66.3,5.5,29.7,11.3,4.3,2,1.1,1.1,-17.1,11437.1428571429,36540.5,3.19489757681739,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69065,Corcelles-en-Beaujolais,361,921.5,21704.2857142857,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69066,Cours-la-Ville,1710,3686,19240.3703703704,52,13,,,,,,,,25,56.9,53.2,3.7,40.2,12.5,4.8,2.2,1.3,1.3,-14.4,11309.0476190476,33330.6666666667,2.94725672659901,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69067,Courzieu,463,1117.5,19876,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69068,Couzon-au-Mont-d'Or,996,2392,24333.3333333333,68,,,,,,,,,,78.7,73.3,5.4,25.4,12.3,3.2,1.7,0.8,0.7,-19.6,12974,43399.2,3.34509018036072,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69069,Craponne,4619,11019.5,24485,71,7,,,8,,,,,13,75.2,71.9,3.3,29,11.5,3.3,1.8,0.7,0.8,-19,13664.7619047619,42009,3.07425773626986,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69070,Cublize,501,1208,20254.4782608696,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69071,Curis-au-Mont-d'Or,432,1180.5,29636,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69072,Dardilly,3131,8593,29393.3333333333,78,5,,,,,,,,14,82,76,6,22.8,15.8,2.6,1.6,0.5,0.5,-23.2,15148,56597.5,3.73630182202271,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
